,state,sat_participation,english,math,total,act_participation,composite,sat_req,act_req
0,Alabama,7.0,583,560,1143,100.0,18.9,No,Yes
1,Alaska,41.0,556,541,1097,38.0,20.1,No,No
2,Arizona,31.0,569,565,1134,73.0,19.0,No,No
3,Arkansas,6.0,582,559,1141,100.0,19.3,No,Yes
4,California,63.0,534,531,1065,23.0,22.6,No,No
5,Colorado,100.0,518,506,1024,27.0,23.8,Yes,No
6,Connecticut,100.0,529,516,1046,22.0,25.5,Yes,No
7,Delaware,100.0,499,486,985,13.0,24.1,Yes,No
8,Florida,100.0,516,483,999,54.0,20.1,No,No
9,Georgia,71.0,538,519,1058,49.0,21.4,No,No
10,Hawaii,54.0,550,550,1100,80.0,19.0,No,Yes
11,Idaho,100.0,505,488,993,31.0,22.5,Yes,No
12,Illinois,100.0,509,504,1013,35.0,24.3,Yes,No
13,Indiana,66.0,543,537,1080,29.0,22.5,No,No
14,Iowa,3.0,622,622,1244,66.0,21.6,No,No
15,Kansas,4.0,618,623,1241,72.0,21.2,No,No
16,Kentucky,4.0,620,612,1232,100.0,19.8,No,Yes
17,Louisiana,5.0,610,591,1200,100.0,18.8,No,Yes
18,Maine,99.0,512,502,1013,6.0,24.3,Yes,No
19,Maryland,82.0,535,523,1058,28.0,22.3,No,No
20,Massachusetts,81.0,559,561,1120,21.0,25.5,No,No
21,Michigan,100.0,507,496,1003,19.0,24.4,Yes,No
22,Minnesota,4.0,636,648,1284,95.0,21.4,No,Yes
23,Mississippi,3.0,628,608,1237,100.0,18.4,No,No
24,Missouri,4.0,622,615,1236,82.0,20.8,No,No
25,Montana,9.0,603,596,1199,100.0,19.8,No,Yes
26,Nebraska,3.0,628,631,1260,100.0,20.0,No,Yes
27,Nevada,20.0,580,576,1156,100.0,17.9,No,Yes
28,New Hampshire,95.0,533,526,1059,14.0,25.0,Yes,No
29,New Jersey,82.0,544,545,1090,25.0,24.2,No,No
30,New Mexico,18.0,543,530,1073,63.0,19.3,No,No
31,New York,79.0,531,533,1064,22.0,24.5,No,No
32,North Carolina,51.0,554,546,1100,100.0,19.0,No,Yes
33,North Dakota,2.0,627,636,1263,96.0,19.9,No,Yes
34,Ohio,19.0,550,548,1097,100.0,20.0,Yes,Yes
35,Oklahoma,22.0,490,472,963,100.0,18.9,Yes,Yes
36,Oregon,51.0,562,550,1112,42.0,21.1,No,No
37,Pennsylvania,70.0,545,537,1082,17.0,23.6,No,No
38,Rhode Island,100.0,503,492,995,12.0,24.7,Yes,No
39,South Carolina,68.0,526,504,1030,78.0,18.8,Yes,Yes
40,South Dakota,3.0,633,635,1268,75.0,21.6,No,No
41,Tennessee,7.0,618,602,1220,100.0,19.4,Yes,Yes
42,Texas,68.0,515,507,1022,39.0,20.5,No,No
43,Utah,4.0,614,615,1230,100.0,20.3,No,Yes
44,Vermont,66.0,560,546,1106,20.0,24.1,No,No
45,Virginia,68.0,567,551,1119,21.0,24.0,No,No
46,Washington,70.0,539,535,1074,24.0,22.1,No,No
47,West Virginia,99.0,483,460,943,49.0,20.8,Yes,No
48,Wisconsin,3.0,635,648,1283,100.0,20.3,No,Yes
49,Wyoming,3.0,623,615,1238,100.0,19.8,No,Yes
